127.0.0.1 - - [10/May/2019:10:53:36 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /bbs/ HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 404 1171
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1179
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 404 1191
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /webjars/bootstrap/4.3.1/js/bootstrap.min.js HTTP/1.1" 404 1174
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /webjars/jquery/3.3.1/jquery.min.js HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1177
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 404 1170
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 404 1190
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 404 1158
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 404 1190
0:0:0:0:0:0:0:1 - - [10/May/2019:10:53:37 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 404 1186
